,en,es,fr
0,I,me,
1,I,yo,
2,I am,estoy,
3,I can,puedo,
4,I have,tengo,
5,I have,he,
6,a,un,
7,a,una,
8,account,,compte
9,after,,suite
10,all,todo,
11,all,todos,
12,already,ya,
13,am,soy,
14,and,y,
15,any,,aucune
16,are,estás,
17,are,son,
18,are,eres,
19,as,cómo,
20,baby,,bébé
21,be,ser,sois
22,beautiful,,belle
23,because,porque,car
24,bedroom,,chambre
25,believe,creo,croire
26,body,,corps
27,brother,,frère
28,but,pero,
29,by,por,
30,came,,venu
31,can,puede,
32,case,,affaire
33,cause,,cause
34,child,,enfant
35,city,,ville
36,come,,arrivé
37,come,,venez
38,come on,vamos,
39,could,,pourrais
40,do,hacer,
41,each,,chaque
42,earth,,terre
43,either,o,
44,end,,fin
45,eyes,,yeux
46,far,,loin
47,favor,favor,
48,finally,,enfin
49,find,,trouve
50,first,,premier
51,first,,première
52,for,para,
53,further,más,
54,girls,,filles
55,give,,donner
56,given,,donné
57,go,voy,
58,god,dios,
59,good,bien,
60,ha,ha,
61,hand,,main
62,has,tiene,
63,have,tienes,
64,he,el,
65,he,él,
66,hello,hola,
67,help,,aide
68,here,aquí,tiens
69,here is,,voici
70,his,su,
71,history,,histoire
72,home,casa,
73,hope,,espère
74,hours,,heures
75,husband,,mari
76,in,en,
77,in front of,,devant
78,is,es,
79,it,lo,
80,job,,boulot
81,kind,,genre
82,knew,,savais
83,large,,gros
84,law,,droit
85,leash,,laisse
86,left,,parti
87,let,,laisser
88,listen,,écoute
89,long time,,longtemps
90,lost,,perdu
91,meet again,,revoir
92,minutes,,minutes
93,month,,mois
94,morning,,matin
95,my,mi,
96,never,nunca,
97,new,,nouvelle
98,no,no,aucun
99,nothing,nada,
100,now,ahora,
101,of,de,
102,of the,del,
103,old,,vieux
104,only,sólo,seulement
105,part,,partie
106,place,,endroit
107,placed,,mis
108,point,,point
109,police,,police
110,power,,pouvoir
111,rather,,plutôt
112,request,,demande
113,request,,demandé
114,search,,chercher
115,self,se,
116,self,sé,
117,she,ella,
118,should,,devrait
119,side,,côté
120,sir,señor,
121,so,así,
122,so,tan,
123,so much,,tellement
124,something,algo,
125,sorry,,pardon
126,speak,,parlé
127,speak,,parle
128,square,,place
129,stop,,arrêter
130,sweetheart,,chérie
131,tea,te,
132,thank you,gracias,
133,that,que,
134,that,qué,
135,that,eso,
136,that,ese,
137,that,esa,
138,the,la,
139,the,los,
140,the,las,
141,their,sus,leurs
142,them,,eux
143,there is,hay,
144,this,está,
145,this,esto,
146,this,esta,
147,this,este,
148,thought,,pensais
149,time,vez,
150,time,tiempo,
151,to,a,
152,to play,,jouer
153,to put,,mettre
154,to the,al,
155,today,,aujourd'hui
156,towards,,vers
157,train,,train
158,truth,verdad,
159,two,dos,
160,type,,type
161,understood,,compris
162,us,nos,
163,very,muy,
164,wait,,attendez
165,wanna,quiero,
166,want,quieres,
167,warning,,attention
168,was,fue,
169,was,era,
170,was,estaba,
171,water,,eau
172,way,,façon
173,well,bueno,
174,were,,étaient
175,when,cuando,
176,where,dónde,
177,while,,pendant
178,who,quién,
179,whose,,dont
180,will,,vont
181,will have,,aura
182,with,con,
183,would like to,,aimerais
184,would say,,dirait
185,yeah,sí,
186,you,tu,
187,you,le,
188,you,tú,
189,you know,sabes,
